Nickname;Country;Liked_Items;Group;Dislikes
jay;Spain;lemonade;;
jim;Italy;water;group5;
roy;France;tea, water;group2;
axel;France;tea, lemonade;group2;
billy;The Netherlands;lemonade;;
charlie;Spain;water, lemonade;group6;flat earthers
jax;Spain;coffee, tea;;
gina;The Netherlands;water;;climate change
paul;Spain;coffee;;parties
ringo;Spain;tea, water;;parties
ally;Spain;tea;group1;climate change
nicky;Belgium;tea;;flat earthers
cam;France;water;group6;
ari;France;water;;
trudie;Italy;lemonade, coffee;;parties
cal;France;tea;group3;climate change
carl;Spain;coffee, tea;;parties
lady;Belgium;tea;group6;flat earthers
lauren;The Netherlands;tea;group6;parties
ichabod;Belgium;coffee, water;;
arthur;France;lemonade, tea;;parties
ashley;Belgium;coffee;group6;
drake;France;coffee;;parties
kim;Belgium;tea, water;group5;flat earthers
julio;The Netherlands;coffee;;parties
lorraine;Italy;lemonade;group6;
floyd;Italy;water, coffee;group1;
janet;The Netherlands;water, coffee;group6;
lydia;Spain;coffee;;parties
charles;The Netherlands;tea;group5;parties
pedro;Italy;tea, coffee;;parties
bradley;The Netherlands;water;group1;flat earthers
