Nickname,Item_1,Item_2,Item_3,Item_4,Item_5,Group_1,Group_2,Group_3,Group_4,Group_5
Nickname_1,False,False,True,True,False,False,True,True,False,True
Nickname_2,True,False,False,False,False,False,False,True,True,True
Nickname_3,False,False,True,False,True,False,True,False,False,True
Nickname_4,False,False,True,True,True,True,True,False,False,False
Nickname_5,True,True,False,True,True,False,True,True,True,False
Nickname_6,False,False,False,True,True,True,False,False,True,False
Nickname_7,False,True,False,True,True,True,True,True,False,False
Nickname_8,True,True,False,False,True,False,False,False,False,True
Nickname_9,False,False,True,False,False,True,True,False,False,True
Nickname_10,True,True,False,True,True,False,False,False,True,False
Nickname_11,False,True,False,True,False,True,True,False,False,False
Nickname_12,True,False,False,False,True,False,True,False,True,False
Nickname_13,False,True,False,True,False,False,False,False,False,False
Nickname_14,True,False,True,True,True,False,False,True,False,True
Nickname_15,False,True,False,True,False,True,False,True,False,True
Nickname_16,False,False,False,False,False,True,True,False,True,True
Nickname_17,False,True,False,True,False,True,False,True,True,False
Nickname_18,True,False,True,False,False,False,True,False,True,False
Nickname_19,False,True,False,False,True,False,True,False,False,True
Nickname_20,True,False,False,False,False,False,True,True,True,True
Nickname_21,False,True,False,True,True,True,False,True,False,True
Nickname_22,False,True,False,True,True,True,True,False,False,True
Nickname_23,False,False,False,False,False,True,False,False,True,True
Nickname_24,True,True,True,True,True,False,False,True,False,True
Nickname_25,True,True,True,True,False,False,True,False,True,False
Nickname_26,False,False,False,True,False,False,True,True,False,False
Nickname_27,False,False,False,True,True,False,False,False,True,False
Nickname_28,False,False,False,False,False,True,True,True,True,True
Nickname_29,True,True,False,True,False,False,False,False,True,True
Nickname_30,False,False,False,False,False,True,True,True,False,False
Nickname_31,True,False,False,False,False,True,True,False,True,True
Nickname_32,True,True,True,False,True,False,False,False,False,True
Nickname_33,False,False,False,True,True,True,True,False,False,False
Nickname_34,True,False,False,False,False,True,True,True,True,True
Nickname_35,False,True,True,False,True,False,True,True,False,True
Nickname_36,True,True,True,False,True,False,True,True,False,False
Nickname_37,True,False,False,False,True,True,True,False,True,False
Nickname_38,True,True,False,False,True,True,True,False,True,True
Nickname_39,False,True,False,True,True,True,True,False,False,True
Nickname_40,True,True,True,True,False,True,False,False,False,True
Nickname_41,True,True,False,True,False,False,False,True,True,True
Nickname_42,False,True,True,True,False,False,True,True,False,True
Nickname_43,False,False,True,True,False,False,True,False,False,False
Nickname_44,True,False,False,False,True,True,False,True,True,True
Nickname_45,True,True,False,False,False,False,True,True,True,True
Nickname_46,True,True,True,True,False,False,True,False,False,True
Nickname_47,False,True,True,False,False,False,True,False,False,True
Nickname_48,True,False,True,False,False,True,True,True,False,False
Nickname_49,False,True,True,False,True,True,False,False,False,True
Nickname_50,True,True,True,True,False,False,False,False,False,False
